user_id,history_movie_id,history_rating,movie_id,rating,timestamp
843,"['419', '197', '275', '23', '208', '95', '191', '179', '209', '216']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",196,0,879446806
843,"['197', '275', '23', '208', '95', '191', '179', '209', '216', '196']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",193,0,879446863
843,"['275', '23', '208', '95', '191', '179', '209', '216', '196', '193']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",170,0,879446863
843,"['23', '208', '95', '191', '179', '209', '216', '196', '193', '170']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",205,1,879446888
843,"['208', '95', '191', '179', '209', '216', '196', '193', '170', '205']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",671,0,879446889
843,"['95', '191', '179', '209', '216', '196', '193', '170', '205', '671']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",175,1,879446911
843,"['191', '179', '209', '216', '196', '193', '170', '205', '671', '175']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",504,0,879446911
843,"['179', '209', '216', '196', '193', '170', '205', '671', '175', '504']","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",83,0,879446948
843,"['209', '216', '196', '193', '170', '205', '671', '175', '504', '83']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",28,0,879446977
843,"['216', '196', '193', '170', '205', '671', '175', '504', '83', '28']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",151,0,879447007
843,"['196', '193', '170', '205', '671', '175', '504', '83', '28', '151']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",485,0,879447007
843,"['193', '170', '205', '671', '175', '504', '83', '28', '151', '485']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",482,0,879447007
843,"['170', '205', '671', '175', '504', '83', '28', '151', '485', '482']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",655,0,879447030
843,"['205', '671', '175', '504', '83', '28', '151', '485', '482', '655']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",528,0,879447030
843,"['671', '175', '504', '83', '28', '151', '485', '482', '655', '528']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",661,0,879447077
843,"['175', '504', '83', '28', '151', '485', '482', '655', '528', '661']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",52,0,879447110
843,"['504', '83', '28', '151', '485', '482', '655', '528', '661', '52']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",434,1,879447146
843,"['83', '28', '151', '485', '482', '655', '528', '661', '52', '434']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",632,0,879447146
843,"['28', '151', '485', '482', '655', '528', '661', '52', '434', '632']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",186,0,879447170
843,"['151', '485', '482', '655', '528', '661', '52', '434', '632', '186']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",495,0,879447170
843,"['485', '482', '655', '528', '661', '52', '434', '632', '186', '495']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",215,0,879447214
843,"['482', '655', '528', '661', '52', '434', '632', '186', '495', '215']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",180,0,879447234
843,"['655', '528', '661', '52', '434', '632', '186', '495', '215', '180']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",633,0,879447285
843,"['528', '661', '52', '434', '632', '186', '495', '215', '180', '633']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",432,0,879447326
843,"['661', '52', '434', '632', '186', '495', '215', '180', '633', '432']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",141,1,879447327
843,"['52', '434', '632', '186', '495', '215', '180', '633', '432', '141']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",97,0,879447377
843,"['434', '632', '186', '495', '215', '180', '633', '432', '141', '97']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1135,0,879447377
843,"['632', '186', '495', '215', '180', '633', '432', '141', '97', '1135']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",392,0,879447377
843,"['186', '495', '215', '180', '633', '432', '141', '97', '1135', '392']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",101,0,879447424
843,"['495', '215', '180', '633', '432', '141', '97', '1135', '392', '101']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",214,0,879447453
843,"['215', '180', '633', '432', '141', '97', '1135', '392', '101', '214']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",660,0,879447484
843,"['180', '633', '432', '141', '97', '1135', '392', '101', '214', '660']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",959,0,879447523
843,"['633', '432', '141', '97', '1135', '392', '101', '214', '660', '959']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25,0,879447523
843,"['432', '141', '97', '1135', '392', '101', '214', '660', '959', '25']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",739,0,879447523
843,"['141', '97', '1135', '392', '101', '214', '660', '959', '25', '739']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",501,0,879447578
843,"['97', '1135', '392', '101', '214', '660', '959', '25', '739', '501']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",588,0,879447579
843,"['1135', '392', '101', '214', '660', '959', '25', '739', '501', '588']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",402,0,879447599
843,"['392', '101', '214', '660', '959', '25', '739', '501', '588', '402']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",162,0,879447625
843,"['101', '214', '660', '959', '25', '739', '501', '588', '402', '162']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",526,0,879447625
843,"['214', '660', '959', '25', '739', '501', '588', '402', '162', '526']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",239,0,879447670
843,"['660', '959', '25', '739', '501', '588', '402', '162', '526', '239']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",627,0,879447718
843,"['959', '25', '739', '501', '588', '402', '162', '526', '239', '627']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",143,0,879447757
843,"['25', '739', '501', '588', '402', '162', '526', '239', '627', '143']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",650,0,879447801
843,"['739', '501', '588', '402', '162', '526', '239', '627', '143', '650']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",200,0,879447801
843,"['501', '588', '402', '162', '526', '239', '627', '143', '650', '200']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",511,0,879447837
843,"['588', '402', '162', '526', '239', '627', '143', '650', '200', '511']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",176,1,879447837
843,"['402', '162', '526', '239', '627', '143', '650', '200', '511', '176']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",651,0,879447837
843,"['162', '526', '239', '627', '143', '650', '200', '511', '176', '651']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",423,0,879448019
843,"['526', '239', '627', '143', '650', '200', '511', '176', '651', '423']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",204,0,879448073
843,"['239', '627', '143', '650', '200', '511', '176', '651', '423', '204']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",420,0,879448073
843,"['627', '143', '650', '200', '511', '176', '651', '423', '204', '420']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1118,0,879448112
843,"['143', '650', '200', '511', '176', '651', '423', '204', '420', '1118']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",206,0,879448112
843,"['650', '200', '511', '176', '651', '423', '204', '420', '1118', '206']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",527,0,879448138
843,"['200', '511', '176', '651', '423', '204', '420', '1118', '206', '527']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",157,0,879448199
843,"['511', '176', '651', '423', '204', '420', '1118', '206', '527', '157']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",708,0,879448230
843,"['176', '651', '423', '204', '420', '1118', '206', '527', '157', '708']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",378,0,879448230
843,"['651', '423', '204', '420', '1118', '206', '527', '157', '708', '378']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",380,0,879448262
843,"['423', '204', '420', '1118', '206', '527', '157', '708', '378', '380']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",416,0,879448352
843,"['204', '420', '1118', '206', '527', '157', '708', '378', '380', '416']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",542,0,879448392
843,"['420', '1118', '206', '527', '157', '708', '378', '380', '416', '542']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21,0,879448392
843,"['1118', '206', '527', '157', '708', '378', '380', '416', '542', '21']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",133,0,879448431
843,"['206', '527', '157', '708', '378', '380', '416', '542', '21', '133']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",422,0,879448431
843,"['527', '157', '708', '378', '380', '416', '542', '21', '133', '422']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",596,0,879448486
843,"['157', '708', '378', '380', '416', '542', '21', '133', '422', '596']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",625,0,879448542
843,"['708', '378', '380', '416', '542', '21', '133', '422', '596', '625']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",578,0,879448604
843,"['378', '380', '416', '542', '21', '133', '422', '596', '625', '578']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",142,0,879448604
843,"['380', '416', '542', '21', '133', '422', '596', '625', '578', '142']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",99,0,879448751
843,"['416', '542', '21', '133', '422', '596', '625', '578', '142', '99']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1065,0,879448751
843,"['542', '21', '133', '422', '596', '625', '578', '142', '99', '1065']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",74,0,879448830
843,"['21', '133', '422', '596', '625', '578', '142', '99', '1065', '74']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",393,0,879448858
843,"['133', '422', '596', '625', '578', '142', '99', '1065', '74', '393']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",550,0,879449152
843,"['422', '596', '625', '578', '142', '99', '1065', '74', '393', '550']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",465,0,879449152
